,Tweets,id,subtask_b,subtask_c,
4347,@USER When atmosphere turns greenish tint from greenhouse gases and humans eat humans in candy bar form maybe I’ll care. MAGA!!!!!!!!,66385,TIN,GRP,
1432,@USER @USER @USER Nobody will kill or beat her!  Cheap tectics to become popular LGBT Tikoo.  She can follow SUNNY LEONE also: she is popular not only in India but world😴  Best of Luck and hope to see both of ur videos together:   Sri Krisna will definetly make ur next video popular. Have fun🙏,78008,TIN,IND,
452,@USER They should. Hopefully voters will realise that they could have ended this shitshow well before the midterms.,10605,TIN,OTH,
10795,@USER She is the size of a stadium,17581,TIN,IND,
1360,"@USER @USER @USER @USER He is mocking self-professed populists who claim to speak for the people"" when those who stand up for ""norms"" and ""rights"" are labelled latte drinking elitists""",55806,TIN,IND,
11658,@USER It seems that the more often these types of events occur the more the gun control and safety debate heats up. I believe eventually state legislatures will pass laws providing schools with better protection but it is sad that these events have to occur in order to push the agenda.,69157,TIN,OTH,
6841,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER And Trump fans are bullies!!! Antifa ?? Steve Scalise ??  Resists Movement ??  You need to get off CNN and MSNBC,46591,TIN,GRP,
11424,@USER I don’t care if she is right or left go back to tv bitch one tv star in office is more than good #hollywoodisscum,41056,TIN,IND,
9448,The #Child-#Rape Assembly Line URL via @USER We cannot #trust a #Catholic #priest. We cannot trust a #Jewish #rabbi - Why do we let these #people have #secrets?  #GreatAwakening #MAGA @USER,11282,TIN,OTH,
10645,@USER @USER @USER Here your proof!  Our African 🇺🇸 friends don't get free college.  The Demoncratic are putting illegals over 🇺🇸 ppl. These Antifa Ninja Turtles running around acting like jihadist and never lived a real life experience. Most of these Antifa colleges kids are White privileged,13874,TIN,GRP,
7192,@USER The reason you don’t have a wife is because you are an ass.,10981,TIN,IND,
4606,@USER These bitches on my brain,21478,TIN,GRP,
12566,@USER Hillary Clinton will be POTUS..Oops!,88002,TIN,IND,
7615,"29. @USER Listened To The Liberals; Democrats And Their Bed-Buddies In the MSM DEMAND Transparency"" From the @USER   Well, Your About To Get A YUGE Scoop Of ""Transparency"" From him. Like I Said In the Start of This Thread: Be Careful What You Wish For.  ~End. URL",95937,TIN,GRP,
4373,@USER The Irony is that most murders are done by illegal gun users who are gang members . This predominantly only affects Latino and black families. The problem is not gun control the problem is judges who let violent gun offenders back on Street after shooting someone.,39663,TIN,GRP,
7272,@USER Disappointed in Taylor. Serena was wrong. don’t use your gender to be disrespectful. Serena should apologize to the winner &amp; ref,89221,TIN,IND,
11898,@USER HE is Satan!,57048,TIN,IND,
3776,@USER Police your own first right?   You see it as unfortunate he is saying these things in public but others see it even more unfortunate that she says the things she says in public. She is an extremely public figure and he is using a similar platform.,69957,TIN,GRP,
1768,@USER @USER says social housing is good and in the same breath talks of climbing the ladder.   Hypocrisy incarnate from a failed lying politician lining her party's pockets with tax money for real estate builders @USER building their failure of lies,65338,TIN,OTH,
235,#FireMorningJoe he is cut from the same cloth as all other conservatives. His misogyny and bigotry are always on display. He is responsible for Trump. URL,36289,TIN,IND,
8322,@USER Fuck yeah you are!!!!,65079,TIN,OTH,
11445,@USER who in America isn't grateful to our military?!?!? Her husband didn't die on the battle field...he died at home!! She should be fighting for gun control and stronger laws regarding mental illness! @USER is about police brutality...she should educate herself on the issues,77521,TIN,IND,
5050,@USER @USER @USER ...unless you are good with an accused rapist sitting on the highest bench in the land. I'm sure your female constituents would love to hear you explain that away...,36537,TIN,IND,
11114,@USER @USER Far left Antifa just a bunch of bullies who get brave when in a mob confronting a few  seems everyone is a nazi if they have a different opinion,66728,TIN,GRP,
12300,@USER @USER  This is insulting. I'm black and fully capable of getting IDs. What makes you think that we can't?  Lets be honest. This is about liberals (mostly white 1s) that want to appear as saviors and vanguards for minorities. Its about protecting your fraudulent votes.,44654,TIN,OTH,
10699,@USER He’s more qualified than all of you Obama folks put together!,63305,TIN,GRP,
9470,@USER Ford is a liar &amp; a ultra left wing radical working with George Soros &amp; others such as Antifa &amp; the Dem party has known it all along.,22822,TIN,OTH,
10990,@USER Can’t rehabilitate a pervert zero tolerance So disappointed in this pope,51162,TIN,IND,
4814,@USER yes bitch 💖💓,92998,TIN,OTH,
322,@USER #StrataData #AI #data #hairball: @USER TDavis touring the application of #Cognitive and #machinelearning techniques to speed #Governance of #data URL,22728,TIN,IND,
7225,@USER Griffin thinks she is funny but she's not. She's a disgusting pig!!,81307,TIN,IND,
7085,@USER Gutierrez you’re such a liar that’s all you guys are good for,40202,TIN,IND,
1034,"@USER @USER @USER @USER Yes, you are right: not only lefties but (neo) liberals having any trouble. This papers have proper journalistic ethics"" - it's funny 😆😆😆; and  Magyar Nemzet or Népszabadság had ""highest circulation"" - it's also funny /only in the communistic past (before 1989)/ 😆😆😆! URL",61788,TIN,GRP,
9467,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER This lady is a grade A idiot or a complete and total liar.  I have called her on most of her bullshit. Anyone with half a brain knows what she is spewing is crap.,47442,TIN,IND,
891,@USER @USER @USER Republicans platform   -take away healthcare -harm the environment  -take away children -take away women’s rights -do not believe in rule of law -voter suppression  -gerrymandering  -take away social security  -no limits to gun control -explodes the budget  #VoteBlue2018,85882,TIN,GRP,
5761,"@USER @USER @USER Still shoveling shit"" for Trump?....What kind of woman supports a liar, racist,  pussy grabber?....that's what kind of woman you are.""",79531,TIN,IND,
1879,@USER @USER Conservatives only care about democracy when it's their opinions and so called racist rights are in jeopardy. Anyone else they don't give a shit about. It's sad.,16462,TIN,GRP,
4718,"Fort Trump in Poland?! Sounds great to me!! Another lasting reminder to the Left/Dems how much the rest of the world hates"" @USER #MAGA #WWG1WGA #RedWave2018 #DrainTheSwamp #FortTrump""",55351,TIN,GRP,
7559,@USER  yet another “good guy with a gun....”🤦‍♀️ WE NEED COMMON SENSE GUN CONTROL LEGISLATION #doSomthing @USER #VoteTheGOPOut #CountryOverParty  Documents: Alleged mass murderer thought wife was cheating URL,42212,TIN,OTH,
1272,@USER @USER I suggest using handcuffs to remove you!,70336,TIN,IND,
6651,@USER Yeahhhhh I will admit to being a Destiny 1 Cayde Liker but God they just made him suck in 2!,84202,TIN,IND,
482,@USER @USER @USER She is absolutely useless. Everyone knows it except for her and the media.,38444,TIN,IND,
4018,Pigeon Girl can also send pigeons to poop on all MAGA hats.,58412,TIN,GRP,
3490,@USER @USER @USER @USER @USER No.   I mean parasite in the sense of private companies being an unnecessary  and universally-unwanted bauble imposed on an essential public service by people who put profits before public opinion and democracy.,89187,TIN,GRP,
4777,@USER Cher is helping Republican party by her unhinged rants...,42115,TIN,IND,
8656,@USER @USER Sorry for the Democratic party is the party of hate they formed the KKK and antifa. The GOP it's finally got back in the office and the economy is booming and people have jobs wow overlook this. You liberal people are the most trashy ignorant things on this planet.,25030,TIN,GRP,
8012,@USER I know but look outside the box its like when Rush Limbaugh lost his shit. They remind me of each other so in my head its funny.,86455,TIN,OTH,
12466,@USER @USER Can't stand to listen to that puke. I change the channel when he speaks. He believes his own LIES!!....They're all NUTS!! #LeftWingLiberalDisease #WalkAway #VoteRedToSaveAmerica  🇺🇸🇺🇸#MAGA 🇺🇸🇺🇸,65081,TIN,IND,
7416,@USER You would. Can't fix stupid.  #MAGA #QAnon #ThursdayThoughts #DrainTheDeepState #ThankfulThursday #WWG1WGA #WalkAway,14992,TIN,IND,
11254,@USER More misleading nonsense. It’s like you are incapable of straight News. Fake through and through.,32705,TIN,IND,
241,@USER @USER Liberals ruin everything!,44015,TIN,GRP,
9634,@USER Patrick ass??,27680,TIN,IND,
10929,@USER @USER @USER @USER Hes comin for ur woolly bitches,75391,TIN,OTH,
6573,@USER @USER @USER God forbid construction workers would be able to earn a decent wage. Liberals want the working class poor and quiet.,79130,TIN,GRP,
9909,@USER It's scary stuff to see how dedicated you are to preventing people's access to resources during a crisis.,75090,TIN,IND,
8779,"#Kavanaugh can't back out of nomination. He couldn't go back to #DCCircuit w/no repercussions. This charge will follow him. When Dems take back Congress, they WILL launch investigations. Conservatives who lie to get Judgeships will be impeached for high Crimes &amp; Misdemeanors""""",65473,TIN,GRP,
9178,@USER Hopefully they don’t get shot because of Repug inaction on gun control.,59992,TIN,GRP,
1875,@USER Holy freakin cow this is actually real from Antifa? Now we really know they are stupid. Great way to get shot or hurt.,39364,TIN,GRP,
1191,@USER BITCH I JUST POSTED ABOUT THAT KDKSKSKS I HOPE YOU GET BETTER SOON,90308,TIN,IND,
4758,@USER Djt &amp; Gop- MAGA. Only for old scared white men again. Making women property again.,25384,TIN,GRP,
8975,@USER @USER Find a voice? The voice they have is their choice to say no to having unprotected sex ... it's not just pregnancy women need to worry about it's STDS and HIV also ... Being responsible for your sexual safety is important ... In the age of #metoo you should already know this.,42454,TIN,OTH,
2496,@USER holy fuck,14077,TIN,OTH,
7469,@USER @USER Pushed to my limits. URL,54030,TIN,OTH,
3725,@USER They probably all wrote it together while pissing in your McDonalds coffee.,83731,TIN,IND,
12140,@USER @USER @USER @USER @USER LMAO you are too dumb... forgive my manners but this pile of shiit you just said can give cancer. URL,15926,TIN,IND,
8788,@USER @USER @USER If any left leaning freak attacks me I will attack back. But so many conservatives are just compliant. Happy with just bitching and complaining. How can we fire people up. The left has got energy. Lots of it. And if things don’t change. We’re going to loose.,48593,TIN,GRP,
7747,@USER From your lips to God’s ears Antonio. I will do my part. Let’s hope all Conservatives do their part. And stay vigilant at the polls. Dems are desperate. There WILL be fraud.,56208,TIN,GRP,
2019,@USER This is so fake he’s unable to feel true feelings he even lies when he says anything and she is just as stupid in standing by a man who clearly doesn’t respect the unity of marriage while he was with her and pay these women off STAND UP DIVORCE LIKE HIS OTHER WIFES DID HES A PIG,57591,TIN,IND,
12915,@USER @USER Xtc isn't going to help you sleep hahahah but it will help you feel better after how Rockstar is shitting on us. Or did you mean sleeping pills😂,24268,TIN,IND,
5896,@USER @USER @USER Way to go David👍 I love it when someone can send the liberals into a tessyfiy in the morning. Keep up the fight. 🇺🇸🇺🇸🇺🇸,66188,TIN,OTH,
1802,"@USER Shit like this is why I don't follow @USER  Who me? I'm just stating basic facts.  Totally NOT diverting from the actual point. Just stating a fact.""  You're a phony""",49515,TIN,IND,
10581,@USER @USER This is dumb! What is the point?,64423,TIN,OTH,
7236,@USER He hit the lotto,86550,TIN,OTH,
1173,@USER How he is still batting,30412,TIN,IND,
6714,@USER 👏🏻 good job (sarcasm). Also great they have gun control laws it’s saving lives! (More sarcasm).,49160,TIN,OTH,
7442,@USER Lmfaooooo foh w that free thought shit Lmaoooo,49780,TIN,OTH,
5294,@USER @USER Bet Ford is a part of antifa and the Berkeley gang,59696,TIN,GRP,
2755,@USER @USER Be coo you got people thinking I really eat ass bitch 😂,90396,TIN,OTH,
3286,@USER He is the absolute worse. Period. That is all.,48438,TIN,IND,
5567,@USER He is repulsive.,37020,TIN,IND,
11204,@USER Russia had Ivan the Terrible. FSU has Willie the Terrible. He is to FSU what Bitch Rod was to Michigan and Tango Charlie was to Texas. We pay this piece of shit $5 million to put up 10 points against our first two FBS opponents. Even Western Michigan scores 41 against Syracuse.,31570,TIN,IND,
3400,@USER @USER @USER @USER You are a boring individual. Its seems good too me,44910,TIN,IND,
7218,@USER @USER @USER No I don’t know that nor do you....in fact a claim like that is bullshit. Imagine if we had never enacted clean air regulations years ago in the U.S....but wait! YOU DON’T HAVE TO IMAGINE...just look at the air quality in China!! That’s what pisses me off about you conservatives,48236,TIN,GRP,
922,*Gets Period* You are the cause of my 𝓭𝔂𝓼𝓹𝓱𝓸𝓻𝓲𝓪,31945,TIN,IND,
10774,@USER @USER @USER He. Is. A. Sociopath.  They are incapable of feeling empathy. Period.,10414,TIN,IND,
5025,@USER @USER He is one who should Not own a gun-Such a lost soul—All he Needs is  Jesus Christ ✝️,62376,TIN,OTH,
10648,@USER @USER @USER Almost every one I talked to at work today said fuck canelo. He is the new mayweather,64790,TIN,IND,
13074,@USER @USER That's ok antifa terrorists don't have intelligent conversations any way. Keep your head in that safe space. URL,13388,TIN,GRP,
11771,@USER @USER There should be a serious FBI investigation into this woman’s motives behind this political hit job. This kind of shit is NEVER done to anyone other than conservatives. Such bullshit.,28407,TIN,OTH,
5301,@USER Clown,87479,TIN,OTH,
6632,@USER and why do all the issues about Pc only focus on liberals What about conservatives on kneeling on fake patriotism Or Republicans freaking out over an abortion,62545,TIN,OTH,
4375,*Finally at my sister's apartaments* Instant reminder that she is ungrateful brat and i'm much more happy without seeing her,78479,TIN,IND,
8873,@USER TEA. I WAS MAD WHEN I SAW THAT SHIT.,98165,TIN,OTH,
12645,@USER THE DEVIL MADE ME DO IT!!!!! THE UGLY FACE OF LIBERALS! I FEEL SORRY FOR THE INNOCENT HONEST ONES THAT ARE JUST BRAINWASHED!,16410,TIN,GRP,
634,@USER @USER Queen Of Rap 😛 Other Bitches can knot relate,20770,TIN,OTH,
5234,@USER @USER @USER He is such an arrogant creep... believes he is God’s gift to Politics,69136,TIN,IND,
6168,@USER Destroy America is more the 24/7 chant from ALL democrats including Hillary.,80777,TIN,GRP,
9954,@USER @USER @USER You make no sense. “Antifa” is a cut-down word for ANTI-fascist. NAZIs are Hitler fascists by definition. Many so-called right-wingers tend to fascist views. Trump does. Just listen to him. The so-called left is far from fascist.,29871,TIN,IND,
7096,"@USER @USER @USER Yes, American women are waiting......to be allowed to continue SLAUGHTERING babies.  Mao, Stalin and Hitler all killed babies too.  Liberals are pathetic, whiney, crooked, yet, say, we are for the children"", except they slaughter babies!""",22207,TIN,GRP,
6882,@USER @USER You are sick in the head. This man lost his daughter.,12182,TIN,IND,
10037,@USER @USER You defending sex offenders shows you for who you are.  I don't waste my time with your types,27374,TIN,GRP,
5341,"@USER Yes, Joy @USER ?....  You were about to say Six-and-a-half years?"" Because that's correct, you sociopath.  You are ""stuck with this @USER ,""  f o r  t h e  n e x t  SIX-&amp;-ONE-HALF-YEARS.   #MAGA2KAG @USER  🇺🇸 #WINNING""",65680,TIN,IND,
5467,@USER @USER Liberals are using a sexual assault claim as a political tool. Let that sink in.,83788,TIN,GRP,
2407,@USER @USER Typical... When it backfires it's nothing to see here move along...  Trump supporters these days are doing the same thing... All this shit Trump is getting called out on. It's nothing to see here move along . Lol,25625,TIN,OTH,
9439,@USER He is way more creepier and says way more stupid things URL,89088,TIN,IND,
9625,@USER You are the worst,51438,TIN,IND,
8325,"@USER I hate a man who thinks his irrelevant opinion matters"" ass bitch URL",86223,TIN,IND,
11590,@USER What do you care! You are going to prison prison regardless. URL,23565,TIN,IND,
2437,@USER Crazy people don't care what they use. I suppose you leftist who says to bad it wasn't a gun. Sounds like you're disappointed he didn't. That way you can scream gun control.,80969,TIN,GRP,
3800,@USER NEITHER DOES ANTIFA OR BLACK LIVES MATTER OR ANY OTHER SOROS FUNDED GROUPS,90586,TIN,GRP,
9085,@USER @USER This is a big deal. Hatch has to be embarrassed. Oh yeah he is senile and can't find the bathroom by himself.,44418,TIN,IND,
9269,@USER Give me a fricking break.  They are worse than the Southern Baptist with a pagan idolatrous.,21063,TIN,GRP,
1088,@USER Delusional idiot and the traitor!,15817,TIN,IND,
12002,@USER Too many Republicans/Conservatives perennially bringing a knife to a gun fight is how Connecticut has ended up a basket case state.  If you can't stomach matching your adversaries aggression level you will get steamrolled.  Every 4th grader knows this.,17565,TIN,OTH,
204,I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA,28985,TIN,GRP,
450,@USER @USER @USER so she is disgusting to you because she is a Rangers fan! you are disgusting to me because you support breaking up the union!  #proudtobeBritish 🇬🇧,53037,TIN,IND,
5122,@USER By making conservatives so sick we can't make it to the polling place!,13964,TIN,OTH,
10665,@USER @USER @USER Innocent people don’t resign. We know liberals love sexual predators. That is why you are OK with Keith Ellison assulting several women with police reports to support it.,83314,TIN,GRP,
11150,@USER Childish and unprofessional.,10039,TIN,OTH,
3589,@USER @USER The ‘AntiFa’ crowd? What a quack.,26169,TIN,GRP,
9382,@USER You are sexy as fuck babygirl🔥🔥🔥,83321,TIN,IND,
12219,@USER @USER @USER @USER @USER @USER @USER @USER Right I'm stopping replying to anymore of your nonsense but going to keep following you to warm others of your dangerous take on society - you pal are the biggest fake going and been proved and just like all the rest of antifa are bloody dangerous,58703,TIN,IND,
1852,@USER @USER @USER He is a big lump of —-I agree 100%,42557,TIN,IND,
11907,@USER Carrey should be shut up for good,53285,TIN,IND,
12349,@USER Of course she’s making money on the situation she is a dem they have no values but greed and power,27991,TIN,IND,
13110,@USER So then your saying the @USER platform of gun control and reform is nothing for them to worry about? Kind of like #Kavanaugh is going to kill women and Gays?,23195,TIN,OTH,
6091,@USER Liberal Dictionary: -Illegal Immigrants: Dreamers -Trump Supporters: Deplorable -MS-13 Killers: Human Beings -Human Beings in the Womb: Not Human Beings -Antifa: Protestors -Law Abiding NRA Members: Terrorists -Bill Clinton: Feminist -Brett Kavanaugh: Predator,92129,TIN,GRP,
11263,@USER He is telling you he knows where his bum is. Writes “ass” with his bottom. What more proof of higher intelligence do you need?,82666,TIN,IND,
7259,@USER @USER @USER @USER So he is misogynistic cause his opinion is different?? I guess that makes you a bigot!,27502,TIN,IND,
5912,@USER Its amazing that these DemoRats are elected to any public office! Their total disregard of the US Constitution and due process is abhorrent. They hung this woman out to dry and the woman refuses to come foward and its the Conservatives fault,49178,TIN,GRP,
3925,"@USER Tough crap Mazie! There should be a Me Too"" for men with false accusations against them as well as those hurt by Democrat lies, false accusations, biased government agencies, biased media sensationalism and Antifa bullies etc......""",98184,TIN,OTH,
9979,"@USER You &amp; your husband are double-talking hypocrites. We can see right through your gun control"" facade. What you really want is for us to give up our guns while you &amp; your husband get to keep your guns.""",44199,TIN,OTH,
6442,@USER We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,50780,TIN,IND,
1727,@USER you fuckass,24918,TIN,IND,
2480,@USER please draw stupid sexy nezha and nidus over the shoulder or something.,46874,TIN,OTH,
11310,@USER @USER @USER Harris makes herself look very ignorant daily! #MAGA without them!,76336,TIN,IND,
9811,@USER @USER @USER @USER @USER @USER I had no idea all republicans were nazi racists till Trump got elected. Imagine my surprise. i'm native american so I took it hard finding out I was a racist. Was despondent went around punching out Antifa to work through my depression.,64544,TIN,GRP,
305,@USER @USER Very pathetic man !,14285,TIN,IND,
10372,@USER liberals drink their own Kool-aid. They live in these bubbles and they think a lot of people like them.  If they could see themselves how clownish they look and act.,11856,TIN,GRP,
11069,@USER @USER @USER @USER @USER  Aaron finding the sending if a locomotive funny. He is aware it symbolises the trains jews were sent to their deaths on.,82873,TIN,OTH,
6988,@USER @USER America is being destroyed by our President.. he is a cancer to democracy. That is what is sad,61621,TIN,IND,
9359,@USER God dang! Didn't she break campaign finance laws? Why isn't she in jail?? Didn't she promise to move out of the US??? Why won't she just Go Away??!!,31491,TIN,IND,
1590,@USER He is too lazy. Just slouches over and waits for the defender to come to him. Bum,76436,TIN,IND,
3317,@USER Trudeau and Liberals are incompetent to handle it.,69417,TIN,GRP,
9949,"@USER Top 5 excuses"" liberals use when they are losing and desperate. #1 RACISM #2 Sexism #3 Russia #4 Guns #5 the Rich VOTE DEMOCRATS OUT! America doesn't need LOSER leaders. and WHINERS!""",65599,TIN,GRP,
10419,@USER idc if you suck i just wanna have fuuun,42778,TIN,OTH,
1981,@USER you are some basic white girl who clearly didn’t know any of them personally and it’s awful what has happened to Mac so why don’t you pay respect to that instead of being disgusting and blaming another innocent human in something that has nothing to do with them.,24621,TIN,IND,
9932,@USER Bono is an idiot!,20674,TIN,IND,
3731,@USER He is going to destroy america like he has done to many of his businesses he does care about middle or lesser america and americans he only cares for himself and the top 1% who hopefully see the light soon before they have no countries to sell their products to,88903,TIN,IND,
2644,@USER The only thing i didn’t agree with was the match point he was following the rules i think this was more about her sex honestly all she did was call him a thief and he penalized her shit was wack,47171,TIN,OTH,
299,"#maga #christineford #trump2020 #tcot #ccot #AmericaFirst #Patriots @USER  #BrettKavanaugh had this to say about Bill Clinton during Whitewater:   It's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   Indeed. URL",81470,TIN,IND,
11420,@USER How would they know if gun control worked if they refuse to try anything?,50345,TIN,GRP,
112,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,80561,TIN,OTH,
5319,@USER It’s a disgrace and @USER are in danger of imploding if they don’t remove @USER,42541,TIN,OTH,
2900,@USER @USER YES BITCH,67777,TIN,IND,
3992,@USER He is a troll.  Not open to facts,56367,TIN,IND,
5291,@USER Conservatives just keep doubling down on being terrible people.,73021,TIN,GRP,
5310,@USER Gorgeous! And those tits are KILLER! ❤️,10087,TIN,IND,
4443,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER NS liberals will sell out fishermen in a heartbeat. These N.S. Liberals are probably in line looking for private sector handouts. Big money tied to Kameron Coal. @USER don’t care about Nova Scotians. Look at health and education. Fisheries next?,42343,TIN,GRP,
123,@USER @USER She is an ugly black hearted troll URL,77294,TIN,IND,
20,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,56117,TIN,OTH,
743,@USER @USER Lefty Pope should also! He is Not worthy rep for true christian roman catholics!! He failed his flock!,16105,TIN,IND,
2197,@USER Andrea Mitchell. Another political hack embedded in the news media. Listen to the tone of that interview.  She is looking for a gotcha moment instead of commending the guy for the work that he is doing. At every turn he shoots her down and it kills her.,39309,TIN,IND,
9588,@USER There are more good people than criminals.  If the good people are armed the criminals won’t stand a chance.  In the USA the cities with the highest violent crime rates are those with the strictest gun control.  The Swiss are all armed and trained - violent crime is rare.,51593,TIN,OTH,
7813,@USER @USER She should be prosecuted to the fullest extent of the law.  The tragic waste of such a beautiful person!  Her incompetency and hasty judgement has ruined his family and friends lives.  I know she is devastated but that is little comfort to his loved ones.😔🙏🏼,45622,TIN,OTH,
3419,@USER Get back on your peanut farm old man,24726,TIN,IND,
1045,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means I am homophobic,25808,TIN,OTH,
13154,@USER She is a repulsive human in every possible level.,33624,TIN,IND,
12523,@USER @USER @USER As a kid of legal immigrants I can attest you are 100% correct. They follow the law to the letter in most cases because they worked so damn hard to get her legally they won’t do anything to risk their status. The illegals have contempt for our laws and pull the scams 24/7,19954,TIN,GRP,
5640,"@USER Also she's thick as shit despite her posh brainy voice"" on QT when the ""refugee"" crisis was at it's peak,she said they should come in because there may be surgeons &amp; dentists amongst them.Fecking leftie lunatic.#ScruffBag""",58099,TIN,IND,
6732,@USER Beto is a joke,58206,TIN,IND,
11733,@USER Why isn’t she is custody?  I understand she cannot be in general population but she should be in custody and in some sort of holding cell.,33920,TIN,IND,
1327,@USER @USER @USER URL  The left party relativizing and playing down communist crimes,53994,TIN,GRP,
13095,@USER @USER Question: Hows that gun control laws up the ass they have working out for them?,85173,TIN,OTH,
5589,"@USER @USER @USER @USER What you're doing is so irresponsible &amp; I believe that ur smart enough to understand how evil you are. If the FBI or JD had some plot to thwart DT, all they had to do was leak"" to the press that he was being investigated. They DID NO SUCH THING. U know you're wrong, that's evil!""",92887,TIN,IND,
3496,"@USER The Dregs of Society"" are ISIS, ANTIFA, BLM, Planned Parenthood, Illllegal aliens, Pedofiles, and liberals.  This is who the Democrats support.  Once again, accusing others of what YOU, Biden are guilty of.""",34522,TIN,GRP,
12320,@USER @USER She is as dumb as she looks,22519,TIN,IND,
11442,@USER @USER Now Comes The Pain...............  #MAGA🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸  #WWG1WGA URL,21865,TIN,GRP,
2420,@USER bitch if u don’t message him,31912,TIN,IND,
12343,@USER You're full of s***. It's the Liberals paid by Soros who are doing those things,99246,TIN,IND,
8688,@USER @USER @USER Trump is done. You are a Anti-Ameican pro-Trump azz!!,24894,TIN,IND,
13018,@USER @USER She is an hypocrite and back stabber like her boss! She applaud this clip. Neighbors help each other when they need help?  URL,63003,TIN,IND,
11569,@USER Democrats haven't done anything but cover up ..so all you think you have a solution .ya don't.....you want gun control.? How about abortion control. Free medical. Free ed. Quit tripping,44383,TIN,GRP,
2839,...this obvious hit job on kavannah is not going to work...and the liberals continue to reveal themselves as demonic figures... URL,27150,TIN,GRP,
8265,@USER I like how her boobs have the same mass as her belly XD,41672,TIN,IND,
1112,@USER An idiot.  Where the fuck do they get these people?,33232,TIN,IND,
6039,@USER You niggas spend on us and we get used to it. I hate to admit it but half the things my boyfriend does for me I can’t do for myself 😂😂😂,22492,TIN,OTH,
3841,@USER @USER Omg!!! A good guy is now evil!!!! Same thing happening is America!!! The Globalist world leaders with all their money would have us believe what is evil is good and what is good is evil!! I’ve read that in the good book!!  For the end time!!!!,99111,TIN,OTH,
